a,b,c
9.55E-03,5.55E-03,5.93E-03
9.55E-03,5.55E-03,5.93E-03
9.55E-03,5.55E-03,5.93E-03
9.55E-03,5.55E-03,5.93E-03
9.54E-03,5.54E-03,5.92E-03
9.53E-03,5.53E-03,5.91E-03
9.53E-03,5.53E-03,5.91E-03
9.54E-03,5.54E-03,5.92E-03
9.55E-03,5.55E-03,5.93E-03
9.55E-03,5.55E-03,5.94E-03
9.55E-03,5.55E-03,5.93E-03
9.54E-03,5.54E-03,5.92E-03
9.53E-03,5.53E-03,5.92E-03
9.53E-03,5.53E-03,5.91E-03
9.53E-03,5.53E-03,5.91E-03
9.53E-03,5.53E-03,5.90E-03
9.54E-03,5.54E-03,5.91E-03
9.54E-03,5.54E-03,5.92E-03
9.55E-03,5.55E-03,5.93E-03
9.55E-03,5.56E-03,5.94E-03
9.55E-03,5.55E-03,5.93E-03
9.54E-03,5.54E-03,5.92E-03
9.54E-03,5.53E-03,5.91E-03
9.54E-03,5.53E-03,5.91E-03
9.54E-03,5.54E-03,5.92E-03
9.55E-03,5.55E-03,5.93E-03
9.56E-03,5.56E-03,5.94E-03
9.56E-03,5.56E-03,5.94E-03
9.55E-03,5.55E-03,5.93E-03
9.55E-03,5.54E-03,5.92E-03
9.54E-03,5.54E-03,5.91E-03
9.54E-03,5.54E-03,5.91E-03
9.54E-03,5.54E-03,5.91E-03
9.55E-03,5.55E-03,5.92E-03
9.55E-03,5.56E-03,5.93E-03
9.56E-03,5.56E-03,5.94E-03
9.55E-03,5.56E-03,5.94E-03
9.55E-03,5.55E-03,5.93E-03
9.54E-03,5.54E-03,5.92E-03
9.53E-03,5.53E-03,5.91E-03
9.53E-03,5.53E-03,5.91E-03
9.54E-03,5.54E-03,5.92E-03
9.54E-03,5.54E-03,5.93E-03
9.55E-03,5.55E-03,5.93E-03
9.55E-03,5.55E-03,5.93E-03
9.54E-03,5.54E-03,5.93E-03
9.53E-03,5.54E-03,5.92E-03
9.53E-03,5.53E-03,5.91E-03
9.52E-03,5.53E-03,5.91E-03
9.53E-03,5.53E-03,5.91E-03
9.53E-03,5.54E-03,5.92E-03
9.54E-03,5.55E-03,5.93E-03
9.55E-03,5.55E-03,5.93E-03
9.54E-03,5.55E-03,5.93E-03
9.54E-03,5.54E-03,5.92E-03
9.53E-03,5.54E-03,5.92E-03
9.53E-03,5.53E-03,5.91E-03
9.53E-03,5.53E-03,5.91E-03
9.53E-03,5.53E-03,5.92E-03
9.54E-03,5.54E-03,5.92E-03
9.55E-03,5.55E-03,5.93E-03
9.55E-03,5.56E-03,5.94E-03
9.55E-03,5.55E-03,5.93E-03
9.54E-03,5.54E-03,5.92E-03
9.53E-03,5.53E-03,5.92E-03
9.53E-03,5.53E-03,5.91E-03
9.53E-03,5.53E-03,5.91E-03
9.54E-03,5.54E-03,5.92E-03
9.55E-03,5.55E-03,5.93E-03
9.55E-03,5.56E-03,5.94E-03
9.55E-03,5.55E-03,5.93E-03
9.54E-03,5.54E-03,5.93E-03
9.53E-03,5.53E-03,5.92E-03
9.53E-03,5.53E-03,5.91E-03
9.53E-03,5.53E-03,5.91E-03
9.53E-03,5.53E-03,5.92E-03
9.54E-03,5.54E-03,5.92E-03
9.55E-03,5.54E-03,5.93E-03
9.55E-03,5.55E-03,5.93E-03
9.54E-03,5.54E-03,5.93E-03
9.53E-03,5.53E-03,5.92E-03
9.52E-03,5.53E-03,5.91E-03
9.52E-03,5.52E-03,5.91E-03
9.53E-03,5.53E-03,5.92E-03
9.54E-03,5.54E-03,5.92E-03
9.54E-03,5.54E-03,5.93E-03
9.55E-03,5.55E-03,5.94E-03
9.55E-03,5.55E-03,5.93E-03
9.54E-03,5.55E-03,5.93E-03
9.54E-03,5.54E-03,5.92E-03
9.53E-03,5.54E-03,5.92E-03
9.53E-03,5.53E-03,5.92E-03
9.54E-03,5.54E-03,5.92E-03
9.54E-03,5.54E-03,5.92E-03
9.55E-03,5.55E-03,5.93E-03
9.55E-03,5.56E-03,5.94E-03
9.55E-03,5.55E-03,5.93E-03
9.54E-03,5.55E-03,5.93E-03
9.54E-03,5.54E-03,5.92E-03
9.53E-03,5.54E-03,5.91E-03
9.53E-03,5.54E-03,5.91E-03
9.53E-03,5.54E-03,5.92E-03
9.54E-03,5.55E-03,5.93E-03
9.55E-03,5.56E-03,5.94E-03
9.54E-03,5.55E-03,5.93E-03
9.54E-03,5.55E-03,5.92E-03
9.53E-03,5.54E-03,5.92E-03
9.52E-03,5.53E-03,5.91E-03
9.52E-03,5.53E-03,5.90E-03
9.52E-03,5.53E-03,5.91E-03
9.53E-03,5.54E-03,5.92E-03
9.54E-03,5.55E-03,5.93E-03
9.55E-03,5.56E-03,5.93E-03
9.54E-03,5.55E-03,5.93E-03
9.53E-03,5.55E-03,5.92E-03
9.53E-03,5.54E-03,5.92E-03
9.52E-03,5.53E-03,5.91E-03
9.52E-03,5.54E-03,5.92E-03
9.53E-03,5.54E-03,5.93E-03
9.54E-03,5.55E-03,5.93E-03
9.55E-03,5.56E-03,5.94E-03
9.55E-03,5.56E-03,5.94E-03
9.54E-03,5.55E-03,5.93E-03
9.53E-03,5.54E-03,5.92E-03
9.52E-03,5.54E-03,5.92E-03
9.52E-03,5.54E-03,5.92E-03
9.53E-03,5.54E-03,5.93E-03
9.54E-03,5.55E-03,5.94E-03
9.54E-03,5.56E-03,5.95E-03
9.55E-03,5.56E-03,5.94E-03
9.55E-03,5.55E-03,5.93E-03
9.54E-03,5.54E-03,5.92E-03
9.53E-03,5.54E-03,5.91E-03
9.52E-03,5.53E-03,5.91E-03
9.53E-03,5.54E-03,5.91E-03
9.53E-03,5.54E-03,5.92E-03
9.54E-03,5.55E-03,5.93E-03
9.55E-03,5.56E-03,5.94E-03
9.55E-03,5.56E-03,5.94E-03
9.55E-03,5.56E-03,5.94E-03
9.54E-03,5.55E-03,5.93E-03
9.53E-03,5.54E-03,5.92E-03
9.52E-03,5.54E-03,5.91E-03
9.53E-03,5.54E-03,5.92E-03
9.54E-03,5.55E-03,5.92E-03
9.55E-03,5.56E-03,5.93E-03
9.55E-03,5.56E-03,5.93E-03
9.54E-03,5.56E-03,5.93E-03
9.54E-03,5.55E-03,5.92E-03
9.53E-03,5.54E-03,5.92E-03
9.52E-03,5.53E-03,5.92E-03
9.52E-03,5.53E-03,5.92E-03
9.53E-03,5.54E-03,5.92E-03
9.54E-03,5.55E-03,5.93E-03
9.54E-03,5.55E-03,5.93E-03
9.55E-03,5.55E-03,5.93E-03
9.54E-03,5.55E-03,5.93E-03
9.53E-03,5.54E-03,5.92E-03
9.53E-03,5.54E-03,5.92E-03
9.52E-03,5.54E-03,5.91E-03
9.53E-03,5.54E-03,5.91E-03
9.53E-03,5.55E-03,5.92E-03
9.54E-03,5.55E-03,5.93E-03
9.55E-03,5.56E-03,5.93E-03
9.54E-03,5.56E-03,5.93E-03
9.54E-03,5.55E-03,5.93E-03
9.53E-03,5.54E-03,5.92E-03
9.53E-03,5.54E-03,5.91E-03
9.53E-03,5.54E-03,5.91E-03
9.53E-03,5.54E-03,5.92E-03
9.54E-03,5.55E-03,5.93E-03
9.55E-03,5.56E-03,5.94E-03
9.55E-03,5.56E-03,5.94E-03
9.55E-03,5.56E-03,5.93E-03
9.54E-03,5.55E-03,5.93E-03
9.53E-03,5.54E-03,5.92E-03
9.53E-03,5.54E-03,5.92E-03
9.53E-03,5.54E-03,5.92E-03
9.54E-03,5.55E-03,5.93E-03
9.55E-03,5.56E-03,5.94E-03
9.56E-03,5.57E-03,5.94E-03
9.56E-03,5.57E-03,5.94E-03
9.55E-03,5.56E-03,5.93E-03
9.54E-03,5.55E-03,5.92E-03
9.54E-03,5.54E-03,5.92E-03
9.54E-03,5.54E-03,5.92E-03
9.54E-03,5.55E-03,5.92E-03
9.55E-03,5.55E-03,5.93E-03
9.55E-03,5.56E-03,5.93E-03
9.56E-03,5.56E-03,5.94E-03
9.55E-03,5.56E-03,5.94E-03
9.55E-03,5.55E-03,5.93E-03
9.54E-03,5.54E-03,5.92E-03
9.53E-03,5.54E-03,5.92E-03
9.54E-03,5.55E-03,5.92E-03
9.55E-03,5.56E-03,5.93E-03
9.55E-03,5.56E-03,5.93E-03
9.56E-03,5.57E-03,5.94E-03
9.56E-03,5.57E-03,5.94E-03
9.55E-03,5.56E-03,5.93E-03
9.55E-03,5.56E-03,5.93E-03
9.54E-03,5.55E-03,5.92E-03
9.54E-03,5.55E-03,5.92E-03
9.55E-03,5.56E-03,5.92E-03
9.55E-03,5.56E-03,5.93E-03
9.56E-03,5.57E-03,5.94E-03
9.56E-03,5.57E-03,5.94E-03
9.55E-03,5.56E-03,5.93E-03
9.54E-03,5.56E-03,5.93E-03
9.53E-03,5.55E-03,5.92E-03
9.53E-03,5.54E-03,5.91E-03
9.53E-03,5.55E-03,5.92E-03
9.54E-03,5.55E-03,5.93E-03
9.55E-03,5.56E-03,5.93E-03
9.56E-03,5.57E-03,5.94E-03
9.56E-03,5.57E-03,5.94E-03
9.55E-03,5.56E-03,5.93E-03
9.54E-03,5.56E-03,5.92E-03
9.53E-03,5.55E-03,5.91E-03
9.53E-03,5.55E-03,5.91E-03
9.54E-03,5.55E-03,5.92E-03
9.55E-03,5.56E-03,5.93E-03
9.56E-03,5.57E-03,5.94E-03
9.56E-03,5.58E-03,5.94E-03
9.56E-03,5.57E-03,5.94E-03
9.55E-03,5.57E-03,5.93E-03
9.54E-03,5.56E-03,5.92E-03
9.53E-03,5.55E-03,5.92E-03
9.54E-03,5.56E-03,5.92E-03
9.54E-03,5.56E-03,5.93E-03
9.55E-03,5.57E-03,5.93E-03
9.56E-03,5.57E-03,5.94E-03
9.55E-03,5.57E-03,5.94E-03
9.55E-03,5.57E-03,5.93E-03
9.54E-03,5.56E-03,5.93E-03
9.53E-03,5.55E-03,5.93E-03
9.53E-03,5.55E-03,5.93E-03
9.53E-03,5.56E-03,5.93E-03
9.54E-03,5.56E-03,5.93E-03
9.55E-03,5.57E-03,5.94E-03
9.55E-03,5.57E-03,5.94E-03
9.55E-03,5.57E-03,5.94E-03
9.54E-03,5.56E-03,5.93E-03
9.53E-03,5.56E-03,5.92E-03
9.53E-03,5.55E-03,5.92E-03
9.53E-03,5.55E-03,5.91E-03
9.54E-03,5.56E-03,5.92E-03
9.55E-03,5.57E-03,5.93E-03
9.55E-03,5.57E-03,5.94E-03
9.55E-03,5.58E-03,5.94E-03
9.55E-03,5.57E-03,5.94E-03
9.54E-03,5.56E-03,5.93E-03
9.53E-03,5.55E-03,5.92E-03
9.53E-03,5.55E-03,5.92E-03
9.53E-03,5.55E-03,5.92E-03
9.54E-03,5.56E-03,5.93E-03
9.55E-03,5.57E-03,5.95E-03
9.55E-03,5.58E-03,5.95E-03
9.55E-03,5.57E-03,5.94E-03
9.54E-03,5.56E-03,5.93E-03
9.53E-03,5.55E-03,5.92E-03
9.53E-03,5.55E-03,5.92E-03
9.53E-03,5.55E-03,5.92E-03
9.53E-03,5.56E-03,5.93E-03
9.54E-03,5.57E-03,5.94E-03
9.55E-03,5.58E-03,5.94E-03
9.55E-03,5.57E-03,5.94E-03
9.54E-03,5.57E-03,5.93E-03
9.54E-03,5.56E-03,5.92E-03
9.53E-03,5.55E-03,5.92E-03
9.53E-03,5.55E-03,5.92E-03
9.53E-03,5.56E-03,5.92E-03
9.55E-03,5.57E-03,5.94E-03
9.55E-03,5.57E-03,5.94E-03
9.56E-03,5.58E-03,5.95E-03
9.55E-03,5.58E-03,5.94E-03
9.54E-03,5.57E-03,5.93E-03
9.54E-03,5.56E-03,5.93E-03
9.53E-03,5.55E-03,5.92E-03
9.53E-03,5.55E-03,5.92E-03
9.54E-03,5.56E-03,5.93E-03
9.55E-03,5.57E-03,5.94E-03
9.55E-03,5.57E-03,5.94E-03
9.55E-03,5.57E-03,5.94E-03
9.55E-03,5.57E-03,5.94E-03
9.54E-03,5.56E-03,5.93E-03
9.53E-03,5.55E-03,5.92E-03
9.53E-03,5.55E-03,5.91E-03
9.53E-03,5.55E-03,5.92E-03
9.54E-03,5.55E-03,5.92E-03
9.55E-03,5.56E-03,5.93E-03
9.55E-03,5.57E-03,5.94E-03
9.55E-03,5.57E-03,5.94E-03
9.54E-03,5.56E-03,5.93E-03
9.53E-03,5.55E-03,5.92E-03
9.52E-03,5.55E-03,5.91E-03
9.52E-03,5.55E-03,5.91E-03
9.53E-03,5.55E-03,5.92E-03
9.54E-03,5.55E-03,5.92E-03
9.54E-03,5.56E-03,5.93E-03
9.54E-03,5.56E-03,5.93E-03
9.54E-03,5.56E-03,5.92E-03
9.53E-03,5.55E-03,5.92E-03
9.52E-03,5.55E-03,5.91E-03
9.52E-03,5.54E-03,5.91E-03
9.52E-03,5.54E-03,5.91E-03
9.53E-03,5.55E-03,5.92E-03
9.54E-03,5.56E-03,5.92E-03
9.55E-03,5.56E-03,5.92E-03
9.55E-03,5.56E-03,5.93E-03
9.54E-03,5.56E-03,5.92E-03
9.53E-03,5.55E-03,5.91E-03
9.52E-03,5.54E-03,5.90E-03
9.52E-03,5.54E-03,5.90E-03
9.52E-03,5.55E-03,5.91E-03
9.53E-03,5.56E-03,5.92E-03
9.54E-03,5.56E-03,5.93E-03
9.54E-03,5.57E-03,5.93E-03
9.54E-03,5.56E-03,5.93E-03
9.53E-03,5.55E-03,5.92E-03
9.52E-03,5.55E-03,5.91E-03
9.52E-03,5.54E-03,5.91E-03
9.52E-03,5.54E-03,5.91E-03
9.53E-03,5.55E-03,5.92E-03
9.54E-03,5.56E-03,5.93E-03
9.55E-03,5.56E-03,5.93E-03
9.55E-03,5.56E-03,5.92E-03
9.54E-03,5.56E-03,5.92E-03
9.53E-03,5.55E-03,5.91E-03
9.53E-03,5.55E-03,5.90E-03
9.53E-03,5.54E-03,5.90E-03
9.53E-03,5.55E-03,5.91E-03
9.54E-03,5.56E-03,5.91E-03
9.54E-03,5.56E-03,5.92E-03
9.55E-03,5.57E-03,5.92E-03
9.54E-03,5.56E-03,5.92E-03
9.53E-03,5.56E-03,5.91E-03
9.53E-03,5.55E-03,5.91E-03
9.52E-03,5.54E-03,5.90E-03
9.53E-03,5.55E-03,5.91E-03
9.54E-03,5.56E-03,5.92E-03
9.54E-03,5.57E-03,5.92E-03
9.55E-03,5.57E-03,5.93E-03
9.55E-03,5.57E-03,5.93E-03
9.54E-03,5.56E-03,5.92E-03
9.53E-03,5.56E-03,5.91E-03
9.53E-03,5.55E-03,5.91E-03
9.52E-03,5.55E-03,5.90E-03
9.53E-03,5.55E-03,5.91E-03
9.53E-03,5.56E-03,5.92E-03
9.54E-03,5.56E-03,5.93E-03
9.55E-03,5.57E-03,5.93E-03
9.54E-03,5.57E-03,5.93E-03
9.54E-03,5.56E-03,5.92E-03
9.53E-03,5.55E-03,5.91E-03
9.53E-03,5.55E-03,5.91E-03
9.53E-03,5.55E-03,5.91E-03
9.54E-03,5.56E-03,5.92E-03
9.55E-03,5.57E-03,5.92E-03
9.55E-03,5.57E-03,5.93E-03
9.55E-03,5.57E-03,5.93E-03
9.54E-03,5.56E-03,5.92E-03
9.53E-03,5.55E-03,5.91E-03
9.53E-03,5.55E-03,5.91E-03
9.52E-03,5.55E-03,5.91E-03
9.53E-03,5.55E-03,5.91E-03
9.54E-03,5.56E-03,5.92E-03
9.55E-03,5.57E-03,5.93E-03
9.55E-03,5.58E-03,5.94E-03
9.55E-03,5.57E-03,5.93E-03
9.54E-03,5.56E-03,5.92E-03
9.53E-03,5.55E-03,5.91E-03
9.52E-03,5.55E-03,5.90E-03
9.52E-03,5.55E-03,5.90E-03
9.53E-03,5.55E-03,5.91E-03
9.54E-03,5.56E-03,5.92E-03
9.54E-03,5.57E-03,5.92E-03
9.54E-03,5.57E-03,5.92E-03
9.53E-03,5.56E-03,5.92E-03
9.53E-03,5.55E-03,5.91E-03
9.52E-03,5.54E-03,5.90E-03
9.52E-03,5.54E-03,5.91E-03
9.52E-03,5.55E-03,5.91E-03
9.53E-03,5.56E-03,5.92E-03
9.54E-03,5.56E-03,5.92E-03
9.54E-03,5.57E-03,5.93E-03
9.54E-03,5.56E-03,5.92E-03
9.53E-03,5.55E-03,5.91E-03
9.52E-03,5.54E-03,5.90E-03
9.52E-03,5.54E-03,5.90E-03
9.52E-03,5.55E-03,5.91E-03
9.53E-03,5.55E-03,5.92E-03
9.54E-03,5.56E-03,5.92E-03
9.54E-03,5.57E-03,5.93E-03
9.54E-03,5.57E-03,5.92E-03
9.54E-03,5.56E-03,5.92E-03
9.53E-03,5.55E-03,5.91E-03
9.52E-03,5.55E-03,5.90E-03
9.51E-03,5.54E-03,5.90E-03
9.52E-03,5.54E-03,5.91E-03
9.53E-03,5.55E-03,5.91E-03
9.53E-03,5.56E-03,5.92E-03
9.54E-03,5.56E-03,5.92E-03
9.54E-03,5.56E-03,5.92E-03
9.53E-03,5.56E-03,5.92E-03
9.52E-03,5.55E-03,5.91E-03
9.52E-03,5.54E-03,5.90E-03
9.52E-03,5.54E-03,5.91E-03
9.52E-03,5.55E-03,5.91E-03
9.53E-03,5.56E-03,5.92E-03
9.54E-03,5.56E-03,5.92E-03
9.54E-03,5.56E-03,5.92E-03
9.53E-03,5.56E-03,5.92E-03
9.53E-03,5.55E-03,5.91E-03
9.52E-03,5.54E-03,5.90E-03
9.51E-03,5.54E-03,5.89E-03
9.52E-03,5.55E-03,5.90E-03
9.53E-03,5.56E-03,5.91E-03
9.54E-03,5.57E-03,5.92E-03
9.54E-03,5.57E-03,5.93E-03
9.54E-03,5.57E-03,5.93E-03
9.53E-03,5.56E-03,5.92E-03
9.52E-03,5.55E-03,5.90E-03
9.51E-03,5.54E-03,5.90E-03
9.51E-03,5.54E-03,5.90E-03
9.52E-03,5.55E-03,5.90E-03
9.53E-03,5.56E-03,5.91E-03
9.53E-03,5.56E-03,5.92E-03
9.54E-03,5.57E-03,5.93E-03
9.53E-03,5.56E-03,5.92E-03
9.52E-03,5.55E-03,5.90E-03
9.52E-03,5.55E-03,5.90E-03
9.51E-03,5.54E-03,5.90E-03
9.52E-03,5.55E-03,5.90E-03
9.53E-03,5.56E-03,5.91E-03
9.53E-03,5.56E-03,5.92E-03
9.54E-03,5.57E-03,5.92E-03
9.54E-03,5.57E-03,5.92E-03
9.53E-03,5.56E-03,5.91E-03
9.52E-03,5.55E-03,5.91E-03
9.51E-03,5.55E-03,5.90E-03
9.51E-03,5.54E-03,5.89E-03
9.52E-03,5.55E-03,5.90E-03
9.53E-03,5.56E-03,5.91E-03
9.54E-03,5.57E-03,5.92E-03
9.54E-03,5.57E-03,5.92E-03
9.53E-03,5.56E-03,5.92E-03
9.52E-03,5.55E-03,5.90E-03
9.52E-03,5.54E-03,5.90E-03
9.51E-03,5.54E-03,5.89E-03
9.51E-03,5.54E-03,5.89E-03
9.52E-03,5.55E-03,5.90E-03
9.53E-03,5.56E-03,5.92E-03
9.54E-03,5.57E-03,5.93E-03
9.54E-03,5.57E-03,5.92E-03
9.53E-03,5.56E-03,5.91E-03
9.52E-03,5.56E-03,5.90E-03
9.52E-03,5.55E-03,5.90E-03
9.52E-03,5.55E-03,5.90E-03
9.52E-03,5.55E-03,5.90E-03
9.53E-03,5.56E-03,5.91E-03
9.54E-03,5.57E-03,5.92E-03
9.54E-03,5.57E-03,5.92E-03
9.53E-03,5.56E-03,5.92E-03
9.52E-03,5.55E-03,5.91E-03
9.52E-03,5.55E-03,5.90E-03
9.51E-03,5.55E-03,5.90E-03
9.52E-03,5.55E-03,5.90E-03
9.53E-03,5.56E-03,5.91E-03
9.53E-03,5.56E-03,5.91E-03
9.54E-03,5.57E-03,5.92E-03
9.54E-03,5.57E-03,5.92E-03
9.53E-03,5.56E-03,5.91E-03
9.52E-03,5.55E-03,5.91E-03
9.51E-03,5.55E-03,5.90E-03
9.51E-03,5.54E-03,5.89E-03
9.52E-03,5.55E-03,5.90E-03
9.52E-03,5.55E-03,5.91E-03
9.53E-03,5.56E-03,5.92E-03
9.54E-03,5.56E-03,5.92E-03
9.53E-03,5.56E-03,5.91E-03
9.52E-03,5.55E-03,5.90E-03
9.52E-03,5.54E-03,5.90E-03
9.51E-03,5.54E-03,5.90E-03
9.52E-03,5.55E-03,5.90E-03
9.52E-03,5.55E-03,5.91E-03
9.53E-03,5.56E-03,5.91E-03
9.54E-03,5.56E-03,5.92E-03
9.54E-03,5.56E-03,5.92E-03
9.53E-03,5.55E-03,5.91E-03
9.52E-03,5.54E-03,5.90E-03
9.51E-03,5.54E-03,5.89E-03
9.51E-03,5.54E-03,5.89E-03
9.52E-03,5.54E-03,5.89E-03
9.52E-03,5.55E-03,5.90E-03
9.53E-03,5.56E-03,5.91E-03
9.53E-03,5.56E-03,5.91E-03
9.53E-03,5.56E-03,5.90E-03
9.52E-03,5.55E-03,5.90E-03
9.51E-03,5.54E-03,5.89E-03
9.51E-03,5.54E-03,5.88E-03
9.51E-03,5.54E-03,5.89E-03
9.52E-03,5.55E-03,5.90E-03
9.53E-03,5.56E-03,5.91E-03
9.54E-03,5.57E-03,5.92E-03
9.53E-03,5.56E-03,5.92E-03
9.53E-03,5.56E-03,5.91E-03
9.52E-03,5.55E-03,5.90E-03
9.51E-03,5.54E-03,5.89E-03
9.51E-03,5.54E-03,5.89E-03
9.52E-03,5.55E-03,5.90E-03
9.53E-03,5.56E-03,5.91E-03
9.53E-03,5.56E-03,5.91E-03
9.53E-03,5.56E-03,5.91E-03
