a,b,c
-2.65E-03,5.69E-03,6.02E-03
-2.66E-03,5.68E-03,6.01E-03
-2.66E-03,5.67E-03,6.00E-03
-2.66E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.69E-03,6.03E-03
-2.65E-03,5.69E-03,6.03E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.68E-03,6.02E-03
-2.66E-03,5.67E-03,6.00E-03
-2.66E-03,5.66E-03,6.00E-03
-2.66E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.66E-03,5.99E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.68E-03,6.01E-03
-2.66E-03,5.69E-03,6.02E-03
-2.66E-03,5.69E-03,6.02E-03
-2.66E-03,5.68E-03,6.01E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.66E-03,6.00E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.68E-03,6.01E-03
-2.66E-03,5.69E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.00E-03
-2.65E-03,5.67E-03,5.99E-03
-2.65E-03,5.67E-03,5.99E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.68E-03,6.00E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.66E-03,5.99E-03
-2.65E-03,5.66E-03,5.99E-03
-2.65E-03,5.67E-03,5.99E-03
-2.65E-03,5.67E-03,5.99E-03
-2.65E-03,5.68E-03,6.00E-03
-2.65E-03,5.69E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.66E-03,5.99E-03
-2.65E-03,5.65E-03,5.99E-03
-2.65E-03,5.66E-03,5.99E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.66E-03,5.99E-03
-2.65E-03,5.66E-03,5.99E-03
-2.65E-03,5.66E-03,6.00E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,5.99E-03
-2.65E-03,5.66E-03,5.99E-03
-2.65E-03,5.66E-03,5.99E-03
-2.65E-03,5.67E-03,5.99E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.68E-03,6.00E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.00E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.66E-03,5.99E-03
-2.65E-03,5.66E-03,5.99E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.66E-03,5.99E-03
-2.65E-03,5.66E-03,5.99E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.69E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,5.99E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.00E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.66E-03,5.99E-03
-2.65E-03,5.66E-03,5.99E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.69E-03,6.03E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.70E-03,6.03E-03
-2.65E-03,5.71E-03,6.04E-03
-2.65E-03,5.71E-03,6.04E-03
-2.65E-03,5.70E-03,6.03E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.69E-03,6.01E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.70E-03,6.03E-03
-2.65E-03,5.70E-03,6.03E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.69E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.69E-03,6.03E-03
-2.65E-03,5.70E-03,6.03E-03
-2.65E-03,5.70E-03,6.03E-03
-2.65E-03,5.70E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.70E-03,6.03E-03
-2.65E-03,5.70E-03,6.04E-03
-2.65E-03,5.70E-03,6.03E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.70E-03,6.03E-03
-2.65E-03,5.70E-03,6.03E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.69E-03,6.03E-03
-2.65E-03,5.70E-03,6.04E-03
-2.65E-03,5.71E-03,6.04E-03
-2.65E-03,5.71E-03,6.03E-03
-2.65E-03,5.70E-03,6.02E-03
-2.65E-03,5.69E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.69E-03,6.01E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.70E-03,6.03E-03
-2.65E-03,5.71E-03,6.03E-03
-2.65E-03,5.70E-03,6.03E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.70E-03,6.03E-03
-2.65E-03,5.70E-03,6.03E-03
-2.65E-03,5.70E-03,6.03E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.00E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.69E-03,6.03E-03
-2.65E-03,5.69E-03,6.03E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.66E-03,6.00E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.66E-03,6.00E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.66E-03,6.00E-03
-2.65E-03,5.66E-03,5.99E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.69E-03,6.03E-03
-2.65E-03,5.69E-03,6.03E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.67E-03,6.02E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.70E-03,6.03E-03
-2.65E-03,5.69E-03,6.03E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.69E-03,6.03E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.66E-03,6.00E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.69E-03,6.03E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.66E-03,6.00E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.66E-03,5.99E-03
-2.65E-03,5.66E-03,5.99E-03
-2.65E-03,5.66E-03,6.00E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.66E-03,5.99E-03
-2.65E-03,5.67E-03,5.99E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.69E-03,6.03E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.66E-03,5.99E-03
-2.65E-03,5.66E-03,5.99E-03
-2.65E-03,5.66E-03,5.99E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.66E-03,6.00E-03
-2.65E-03,5.66E-03,5.99E-03
-2.65E-03,5.66E-03,6.00E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.66E-03,5.99E-03
-2.65E-03,5.66E-03,5.99E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.69E-03,6.03E-03
-2.65E-03,5.69E-03,6.03E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.66E-03,6.00E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.66E-03,6.00E-03
-2.65E-03,5.66E-03,6.00E-03
-2.65E-03,5.66E-03,5.99E-03
-2.65E-03,5.66E-03,5.99E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.66E-03,6.00E-03
-2.65E-03,5.66E-03,5.99E-03
-2.65E-03,5.66E-03,6.00E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.66E-03,5.99E-03
-2.65E-03,5.66E-03,6.00E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.66E-03,6.00E-03
-2.65E-03,5.66E-03,6.00E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.69E-03,6.03E-03
-2.65E-03,5.70E-03,6.03E-03
-2.65E-03,5.70E-03,6.03E-03
-2.65E-03,5.69E-03,6.03E-03
-2.65E-03,5.69E-03,6.03E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.70E-03,6.03E-03
-2.65E-03,5.70E-03,6.03E-03
-2.65E-03,5.70E-03,6.03E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.69E-03,6.03E-03
-2.65E-03,5.69E-03,6.03E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.67E-03,6.00E-03
-2.65E-03,5.68E-03,6.01E-03
-2.65E-03,5.69E-03,6.02E-03
-2.65E-03,5.69E-03,6.03E-03
-2.65E-03,5.69E-03,6.03E-03
-2.65E-03,5.69E-03,6.03E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.67E-03,6.02E-03
-2.65E-03,5.67E-03,6.02E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.69E-03,6.03E-03
-2.65E-03,5.69E-03,6.04E-03
-2.65E-03,5.69E-03,6.04E-03
-2.65E-03,5.69E-03,6.03E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.67E-03,6.02E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.69E-03,6.03E-03
-2.65E-03,5.69E-03,6.04E-03
-2.65E-03,5.70E-03,6.04E-03
-2.65E-03,5.69E-03,6.04E-03
-2.65E-03,5.68E-03,6.02E-03
-2.65E-03,5.67E-03,6.01E-03
-2.65E-03,5.67E-03,6.01E-03
